name	seq
bajey koruno shurey	nDpMMMMMpDDnnnn's's's's's'snnDDppMppDDnnn's's's'sMpn's'r'G'G'm'r'r's'snDpMMMMMpDnn's's's's's'r'r'G'r'r's's's'snn'sppppppMMpGGGGrrsssssssss.n.nsppDnn's'r'r'G'm'm'r'r'r's's'snnDDppMMMMMppDDnnnn's's's's's's'G'G'r'r'r'r'r'r'G'G'r'snpn's's's's's'G'G'r'r'r'r'r'r'p'p'r'snpn's's's's's's's's'sn's'r'G'r's's's'sn's'r'G'G'G'm'r'r's'snDpMMMMMpDnn's's's's's'sppMppppMpppGrGmGrsrrGrsmgmpppp'G'G'r'r'r'r'r'r'r'r'r'p'r'snpn's's's'sn's'r'G'G'r's's's'sn's'r'G'G'r's's's'sn's'r'G'G'm'm'r'r's'snDpMMMMMpDnn's's's
bajilo kahar bina	rgggmmgrggpppMpdpmgrggmmmmdpmgrsrgggmmgrggpppMpdpmgrggmmmmdpmgrsrggggmmmggrggggppppppppppppppppppppMpppp'sNNNddpmmgrgspmgggmmgrggpppppppnnMpdpdnn's's'g'r'snndn'sp's'sNdpdpmgsgggmmmppmgggmmgrggppppppppMddpmprgmgr.nsggmpmgmpndn'sndnpMpddnpmmpmggppMMddddpmmpprrggmggrr.nssggggmppmggmmppnndnn's'snddnppMMppddddnppmmmppmgggggnnnppMppddppdnnnn's's's's'g'r'r's'snnnndnn's'sppMMMMdppmmmmpmmggssggggmpp's's'sNNddppppmggggggmmmggrggggppppppppppMMMMdppmmggrrggmggrr.nssggggmppmmggrggmmppnn's'snnMMMppMMdppmmrgggssggmmppmmggrgggggnnnnddMppddppdnnnn's's's's'g'r'r's'snnnnnn's'sppnn's'snn'r's'sNNddppppddppdNN'sN'sNdppmgggmmgrggpppppp
banglar maati banglar jol	mpppppdmpdpmggmmpppppmpdpdnndppd's's'sn's'r'g'r's'r'sndn'snndnpMpMgMpdn'sndppddnnnn's'sn's'r's'r'g'r'sn'sndn'sndppddnnnn's'sn's'r's'r'g'r'sndppd's's'snn's'r'g'r's's'r'snnnn'snnnndpMMpMgMMpmmpppppdmmpdpmmggmmmpppppmppdpdnnndpppd's's's'snn's'r'g'r's's'r'snddn'snnndnpMMpMgM
bhalobashi  bhalobashi	sd'sNdmgmpdp'sNdddddddNd'sNdpdpmgrgmmppnn'sn'sn'r'sp'sNdpmgmp'sNddmmNNdn'sn'snnn'sn's'm'g'r'G'r'snn'sn'sn'r'sNdpmggmmpdpp'sNdd's'sd'sNNdmgmppdp'sNNdsssrrrggrgggmmgmmmppmggmmmdpddnnn's'sn's'sn's'sn's'sn's'sn's's'm'g'r'r'G'r's'snn's'sn's'sn'r'sNNdpmgmmmgmmgmmgmmgmmpdpp'sNdd's'sd'sNNdmgmppdp'sN
bhalobeshey  shokhi	sgrgggrgpmgmgrrrrrgmgrgsssrrggmrgmpmggggrs.nsgrgggrgpmgmgrrrrrgmgrgsssrrggmrgmpmggggggggpppppggppdndpppdppdpdndppdpmggmrgmpmgggggrs.nsgrgggrgpmgmgrrrrrgmgrgsssrrggmrgmpmggggggpd's's's's's's'g'r'sndNdppppDppDNDppppDpDNDpppppppdd's's's'r'sn'sndNdNdppppDpDNDppdpmgggmrgmpmgggggrs.nsgrgggrgpmgmgrrrrrgmgrgsssrrggmrgmpmggggggsgrrmggrgmpmgmgrrrrrrgmgrgsssrrggrgmpmggggggggpppppggpmpdnndpppdppdpdndppdpmgggmrgmpmggggggsgrrmggrgmpmgmgrrrrrrgmgrgsssrrggrgmpmggggggggpppppggpmpdnndpppdppdpdndppdpmgggmrgmpmggggggpd's's's's's's'g'r'sndNdppppDppDNDppppDpDNDpppppppdd's's's'r'sn'sndNdNdppppDpDNDppdpmgggmrgmpmgggggrs.nsgrgggrgpmgmgrrrrrgmgrgsssrrggmrgmpmggggg
bhengey mor ghorer chaabi	ppppmmdpppddmmpppmmgmgrgmppppppppmmdppdmppmgmgrgmpppppnnnppdndnpppppd's's's's's'sp's's's's'r's'r's's'sndnppddn'sndndpppmmdppdmppmgmgrgmppppssrmmmpppppppppdd's's'snn's'snnnnnnddpppppddddnnppppnnddppmmggggmmmmpppppssssrmmmmmpppppppppppppdd's's'snn's'snnnnnnddpppppddddnnppppnnddppmmggggmmmmpppppppdddd's's's'snn'r's's's's's's'spp's's's's'r'r's's'r'r'snn's's's'snnddnnpppddddnn's'snddnnddpppppmmmmddppppddmmpppmmggmmggrrggmmpppppppp
bidhir badhon katbey	p's'sn'sn's'r's'sNNddmppdppmgggggrgmmpdppmggggggrsssmgmmpddn's's's's's'm'g'g'g'm'r'g'r'sn's'snn's'r'sNNddmmp's'sn'sn's'r's'sNNddddmmmddnnnn'snn's's's'sn's'sn's's'r's's'sNNNddddmmmddmpppdnn's'snn's's'r'r'r's's'r'sNN'sNNddNNdp's'sn'sn's'r's'sNNddddsmmmmmmmmmmmmpppppddddddn'sn's'r'sN'sNdpppdmmmppdnn's's's'smdddnnn'sn's's's'sn'sn's'r's'sNNddddddddN's's'm'g'm'r's'smmmpp'sn's'r's'sNddNdp's'sn'sn's'r's'sNNddmppdppmgggggrgmmpdppmggg
bipulo torongo re	rss.NsmmmmmmGGGrss.NsmmmmmmmppppNNpppppmmmppmGGmpnn's's's'sN's'sN's's'sN'sNdNppmGGrss.NsmmmmmmpppmGGmpnn's's's'sp'sn's'G'G'r's'sNNddpppppmGGmpnn's's's'sp'sn's'G'G'r's'sNNddpppppmGGmppn's's's'sN'sNdNppmGGrss.NsmmmmmmGGGrss.Nsmmmmm
bishwo jokhon nidramogon	p's'snnMpMpmgsggmpmggrsspMpMpMpMndnpdmpmgggmpn'spsggmppmggrssppnnn's'sn'r's's's's's'r'r'snnppdn's'g'g'g'm'p'g'p'm'g'g'r'spppppdN'sNdppmmgssgggmpmgggrssss.nssgss.nsspmmgmdpppmmgmgggggmppnnn's's'g'r'r'snnpMppMpMnddnpdmpmmgppMdpnnn's'sn's's's's's's's's's'r'r'snndpMpp'snppppgggmpppnnnnn'sn'g'r'rn'r's'snnn'sppssgggmpmgggrsspp's'snnnMppMpmmgssgggmpmgg
bojro manik diye gnatha	.n.n.n.p.n.nsssrrgrrpmmmrgggrrsssrrrggmmgggrrsssmmmmmmmmpppppppppddNNNddpppppppp's'sNNddpdppmmgrggggrs.n.n.n.p.n.nsssrrggrrrppmmmmrrgggrrsssrrrggmmgggrrsssmmmmmmmmpppppNddppppppppp's's's's's's's's's's's's's's'r'rNN's'sNNNdddppppmmmmmmmmpppppNddppppppppp's's's's's's's's's's's's's's'r'rNN's'sNNNdddppppppppddmmmpppmmNddpppppppppmmNNNNNNNddppddppmmmggrrggggrrss.n.n.n.n.n.p.p.n.n.nssssrrrrggrrrppmmmmrrgggrrsssrrrggmmgggrrssssss.n.n.n.n.n.p.p.n.n.nssssssssrr.n.nsrrssrrrrrrmmmmmmmmmmmmmmmmggrrrppmppppppddddpppppmmmmmmmmmmmmggppmmggrrpppppmmggrrggggrrssrr.n.n.n.nsssssssmmmmmmmmpppppNddppppppppp's's's's's's's's's's's's's's'r'rNN's'sNNNdddppppmmmmmmmmpppppppppddNNNddpppppppmmmmmmmmpppppppppddNNNddpppppppppNNNNNNNddppddppmmmggrrggggrrss.n.n.n.n.n.p.p.n.n.nssssrrrrggrrrppmmmmrrgggrrsssrrrggmmgggrrss
boro aasha korey	srggggggggmmgrrggppmmgrgssrgrsssss.dsrppdpmgrgsrgggggmgrgpmgrgssrgrssssppdn's's'sndpdpmgggmgrrgsrrrrs.n.p.dssrrssssssssppdn's's'sndpdppmmggggmmgrrrggssrrrrrss.n.n.p.p.d.dsssrrrssssssssssssggrrgggggppmmggrrdddddss.n.n.d.d.n.nrrrrrss.n.n.d.d.n.n.p.p.p.p.psssggrrgggggppmmggrrdddddnnddppdd'r'r'r'r'r's'snnddnndpppppddnn's's'spppppppddnnpppmmggrrrrdddddddddppmmggrrss.n.n.d.d.n.nrrrrggrsssss.p.p.p.p.psssssrrrrrgggggppmmggrrss.n.n.d.ddpmgrgssrgggggmgrgpmgrgssrgrsssss.dsrppdpmgrgsrgggggmgrgpmgrgssrgrsss
boshontey phul gnathlo	s'sndpMggmddddddNNdddppppMMpppMMppppmmmmssmmmmmmmmmmmmmmmmmggpppppppppppppppp'g'g'g'g'g'g'g'r'r's'snnddppMMgggmmdddddddNddppMppMpppmmmsmmmmmmmmmmgpppppppppppp'g'g'g'g'g'g'r'sndpMggmdddpppndn's's's'sn's's's'g'g'g'r'r'r's'sn'r'sn's'spppndn's's's'sn's's's'g'g'g'r'r'r's'sn'r'sn's'sdddNNddpppppMMppddddddNNddpppppppMMpppMM'g'g'g'g'g'g'g'r'r's'snnddppMMgggmmddddsssssmmmmmmmmmmmmmmmmmmmmmmgppMMpppppppdddd's'sddpppppMMddpppppmmmmgppmmggmrrssssssssssssmmmmmmmmmmmmmmmmmmmmmmgppMMpppppppdddd's'sddppppMdpppmmgpmgmrsssssspppndn's's's'sn's's'g'g'g'r'r'r'sn'r'sn's'spppndn's's's'sn's's'g'g'g'r'r'r'sn'r'sn's'sddNdpppMpdddddNdppppMppM'g'g'g'g'g'g'r'sndpMggmdd
byartho praner aborjona	sssrrrggggggmpppppdd's's's's's's's's'sndd's'snnppppppppppppDDDDDDDDDDppmmpDDpmmpgggggggggmmmmmmppppppppppppp's's's's's's's's's's's's's's'snndddd's'snnddpppppppp's's's's's's's's's's's's's's's's's's's's's'snn'r'r'r'r's's's's's's's's'sppppDDDDDDDDDDDDDDDDDDppDNDpppppppp's's'G'G'G'G'r'r'G'r'G'r'sn'r's's's'sn'r'r's's's's's'spd's's's's's's's's's's'sndd'sndppppppppmmppppppddnnnnnnndpppdnppppppppDDDDppmmmpDpgggggmpnndnpppppppp's's's's's's's's's's's's'sn'r'r's's's's's's's'sppppppppppppppddnnnnnnpd's's's's's's's's's's's's'sn'r'r's's's's's's's'sppppppppppppppddnnnnnnnn's's'G'G'G'G'r'r'G'r'G'r'sn'r'r's's'sn'r'r's's's's'sppd's's's's's's's's's's'sndd'snppppppppsssrrrggggggmpppppdd's's's's's's's's'sndd'snppppppp
chhaya ghonaichhey boney boney	GGGGrmGGrssrs.n.nssssssggggggmgmgmmGGGrGGGrmGGrssrs.n.nssssssssgggggggggggmggmmggmmmGGGGrrGGGGrrmmGGrrssrs.n.nssssgmpdn's's'r'snn's'spppddNd'r's'sd'sNNdppdpgmpdNpmGGGrmGGrssrs.n.nssss's'G'r'm'G'G'r'r's's's'r'snn's's's's's's'r's'sNNNNN'sNddppp'G'r'r's's's'r'snn's's's's's's's's'r's's'sNNNNNNNN'sNNdddpppppNNddNNNNN'r's'sNNNNN'sNNdddpppppppddNN's'sNNddpppppdggggmmppddNNppGGGGrrmmGGrrssssrss.n.n.nsssssssggggggggggggssggggmggmmmmmmmppmmmGGrrGGGGGmGGrrrsssrr.n.nssggggggggggggssggggmggmmmmmmmppmmmGGrrGGGGGmGGrrrsssssppdmmppddnnn's's'r'rnnn's's's's's's's's's's's'G'r'r'r'r'm'G'r's'rnn's's's's's'spdmpdnn's'rnn's's's's's's's's'G'r'r'm'G'r's'rnn's's's'spdN'r'sNdNNdpmgmmpdNpGGGrmGGrssrs.n.nsss
chnader hashir bnadh bhengechhey	ddNdppppppdmmpppppppmNNdpdmpdmpmGGGrNNdpppmmmGGrrsssrrmmmmppppmmpp'sn's'sNddNdppppppdmmpppppppmNNdpdmpdmpmGGGrNNdppmmGrssrmmppmp'sn's'sNddNdppppppdmmppppppmppnnnnn's's'r'r'sn's's's's's'snn'sn'r's'sn'sn'r's'sNdNNNNNNmppnnnnn's's'r'r'sn's's's's's'snn'sn'r's'sn'sn'r's'sNdNNNNNNddNdppppdmppmmNdpdmpdmpmGGGrNNdppmmGrssrmmppmp'sn's'sNddNdppppppdmmpppppprmmmmppppppppmNNdpdmpmGGGGGrrNdppmmGrssrrmmppmppppprmmmmppppppppmNNdpdmpmGGGGGrrNdppmmGrssrrmmppmpppppmppnnnn's's's'r'sn's's's's's'sn'sn's'r's'sn'sn'r's'sNdNNNNNNmmpppnnnnnnn's's's's's'r'r's'sn's's's's's's'snn's'snn's's'r's's'snn's'snn'r's's'sNNdNNNNNNNdddNNddppppppddmmpppmmmmNNddppddmmppdmmpmmGGGrrNNNNddpppmmmGGrrsssrrmmmmppppmmppp's'sn's's'sNNddddNNddpppppppppdmmmpppppp
chokher aaloy dekhechhilem	srspMgggrgrprgrr.nrrsrggrggggggggppppppMpppppMMpppppppppdddppddnnndnnnddppppssrrsspMMgggrgrprgrr.nrrsrggrggggggppgpMddpd's's'sn'r's'sppppggppMddddd's's'snnnn'r's's's's's'g'r'r'rnn'r's's'snnddnn'snnddppppMppMnndddppgggrrssssssrrsspMMgggggrggrpprggrrr.n.nrrrssrrgggrgggggggssss.nrrrrrrrrrssrrggggggggggrrrr.n.nrrsssssss's's'g'g'g'r'r'r'r's's's'snn'r's's'snnddppnnnnddddMMddpppppppssss.nrrrrrrrrrssrrggggggggggrrrr.n.nrrsssssss's's'g'g'g'r'r'r'r's's's'snn'r's's'snnddppnnnnddddMMddppppppppppggppMddpp's's's'snnnn'r's's's's's'g'g'r'rnn'r's's'snnddnn'snnddpp's's's's'snnddppppMMdppMMggMMppppMMndddppgggrrssssssrrsspMMgggggrggrpprggrrr.n.nrrrssrrgggrgggggg
chokkhey aamar trishna	sssssssrr.nsrppppppppddmmmpppppppppppmmmppddmmprrrppppmmmrrrsssrr.nsrrpppppddNddNNdNNNNNd'sNNdppddNddNNdNNNNNd'sNNdppppp's'sNNddNNppppNNmmmpNNmprrpppmmrrsssrr.nsrpppppppp'm'm'r'r'r's's's'spnn'spn's's's's'sn'r's'sNNdNNppppppgmpdN's's's'spnnnn'sn'r's's'sNdNNppNNmmmgmpdNsssssssrr.nsrppppppppmmrrrrrsssrprrrpppppmmpppppppmp's's'sdNdNppNdNNdNdNNpmprrrppppp'm'm'G'G'G'm'm'r'r'sn'spp's's's's's's'r'r's'sNNNNddddNNddddNNpppp'm'm'm'G'G'G'G'm'm'm'r'r'r's's's's'sNNNddddNNppppggmmppddNNsssssssssssrrr.n.nssrrpppppppp
chorono dhoni shuni tobo	srrmp's's'sNddppmmGGrrrssrrrrrrGmmGGrrssrr.n.nssssrrmmmmmmppppmmNNppmmGGrrsrrmp's's'sNdpmGGrrrmmmpdNN's's'sn's'r'r'G'r'r'sNdmmmpdNN's's'sn's'r'r'G'r'r'sNdp'sn's'r's'sNdmpdNNpmGmmpmGGrrsrrmp's's'sNdpmGGrrrp'sn's'r's'sNdpmmGrrrGmGrssrmmmppppdNN's'sNddpppp'sn's'r's'sNdpmmGGrrrrrrGmmGGrrssssrrmmmmmpppppppddNNN's's'sNNdddppppmmmmmppddNNN's's's's's's'snn's's'r'r'G'G'r'r'r's'sNNmmmmmmmppddNNN's's's's's's'snn's's'r'r'G'G'r'r'r's'sNNmmpp's'snn's's'r'r's's'sNNddmmpp's'sNNNppmmGGmmmppmmGGrrrssrrrrmmpp's's's's'sNNddppmmGGrrr
chorono dhoritey	.Nssssssss.NsGGGrGrGGmGGRs.N.D.NsRsRmGGGRssssssDDppppGppDpNDpDpmmmsmmmmmpprGmpNDDGrmGGRssss.NsGGGrGrGGmGGRs.N.D.NsRsRmGGGRsssDDDDDDDDDNN's's'RN's's's's's'G'G'G'G'r'G'r'G'G'R's'R's'R'G'R's's's'sDDDDDDDDDDNN's's'RN's's's's's'G'G'G'G'r'G'r'G'G'R's'R's'R'G'R's's's's'sN's'R'R's'R'R's's's'R's'sNNppNDpppppppppppGGpmppNDDGrmGGRssss.NsGGGrGrGGmGGRs.N.D.NsRsRmGGGRssssssssssssRGGmmmmmmmmm'G'G'G'R's'sDDN'G'R's's's'R's'R'R's'R'R's's's'R's'sNNDDDppp'sNDDpGRssRGRssssDDDDDDDDDNN's's'RN's's's's's's'G'G'G'r'G'r'G'R's's'R'G'G'R'R'R's's's'sN's'R'R's'R'R's's's'R's'sNNpDDpppppppppppGGpNDDDGrmGGRssss.NsGGGrGrGGmGGRs.N.D.NsRsRmGGGRss
deep nibey gechhey momo	pMdpmgsgmdpmpmggggggppppMpMndpmgrgpMdpmgsgmdpmpmggggggrsssr.nssssssssggmmppnnnnn's'sdd's'snnppnndd's'snnnMMppMddpmmggssgmdpmpmggggggppppMpMndpmgrgpMdpmgsgmdpmpmgggggpppnnn's's's's'sp'sndd'snnnnnn'sn's'sndn'snppppppdddmmggmrmggggmpnn'sn'r'r's'sMdppmmmpmmgggsssssggmmppnnnnn's'sdd's'snnppnndd's'snnnMMppMddpmmggssggmmddpmmpmmggggggggppppppMMppMMnddpmmgrrgppMddpmmggssggmmddpmmpmmggggggssssgggggggggggggmmrrgrrrrppppppmmggggggpmmgggppmmggrrgrrss.nssspppMMppMnnddpppmmggpggggpppnnnnn's's's's's's's's's'snndddnn'snnnnnn's'snndddnn'snnnnnnpp's's's'sNNddppddpmmgggggggmmmgpggggn'sn'g'r's's'sdppmmmpmmgggsssggmpnnn'sd'snpnd'snnMpMdpmgsgmdpmpmggggggppppMpMndpmgrgpMdpmgsgmdpmpmgggg
dhaey jeno mor	srgggggggggggmmggrrggpMppMggmmmgppssrrggggmddpmmggsrggggggggggggmmggrrggppMMppppMggggmmmmmmggpppssrrggggmddpmmggpppppMMppMMpppppMppppMMppmmggggggmmmmmmggpppssrrggggmddpmmggpppmmggrrggpppddnnppdnn's'r'r'snnn's's's's's's's's's's's's's'snn's'snddn's'snddppppppmmggrrggpppddnnppdnn's'r'r'snnn's's's's's's's's's's's's's'snn's'snddn's'snddpppppNNNddppsssrrrrgmppsrsrrrgmppsrggmdpmgsrrrrrrgsrsrgmggggppMpMpdnndpMpdpmgmrgrgmprrgmppMppmgggmmmggmdpmgrgsrgmggsrrrrrrgsrsrgmggggppMpMpdnndpMpdpmgmrgrgmprrgmppMppmgggmmmggmdpmgrgsrgmggggmgrgppdnpdn'snnn's's's's's's's'sn'sdn'sndppdNNddppmmgrgppdnpdn'snnn's's's's's's's'sn'sdn'sndppdNNNNNNppNdNdNNdNdNNdpsrrrgmppsrggmNdm
dibosho rojoni	rrrrrrGrGmGrsrrs.n.nsrppmGmrsssn'sn'sn'r'sNd'sNdNpdpGrrs.nsrppmGmrsgmpppppppdN'sn'r'sNd'sNdpdmpgpmGrmGrs.nsrGrrrrrrGrGmGrsrrs.n.nsrppmGmrsssnnnnndn'sn'r'sn's'sn's'r'sNdpdNd'r'sNdppnnnnndn'sn'r'sn's'sn's'r'sNdpdNd'r'sNdppnnnn's'sgmpdNd'sNdpdpmpmGrmGrs.nsrGrrrrrrGrGmGrsrrs.n.nsrppmGmrsssmppppdNdpdpmmmmpmGrs.nsrGGrrrGGGGrmGrsrsr.nssspppdmpmGrGmGrsssnnnnndn'sn'r'sn's'sn's'r'sNdpdNdN'r'sNdppdpmGrss'sn'sn'r'sNdNNdpdmpmrGmGrs.nsrGrrrrrrGrGmGrsrrs.n.nsrppmGmGss
din jodi holo oboshan	ppNNDDpDMpGGRRss.n.nssppppDDMMppGGmmppNNNNNDDDpppMMppppppppppppppMMppNNNNNN's'sNNDDppppMMppMppppNNNNd'sNNDDppMpGG.NsGmsmpGmpNNNDDpDMppppmpmGmpnnn'sn's's's's's's's's'G'G'G'R'R's'snn's's'sNNNNNNN'sNNNNNNDDDppppppMMppNNNNNNNNNN's's'sNNNNDDDppppmmppGGmmppNNNNNDDDppDDMMppMMGGsssss.N.NssGGmmppmppGGmmppNNNNNDDDppDDMMppppssGGGGGGRRRRss.n.nssrrGGGGGmmppmmpmmGGGGGGmmGGGGRRRsssssssppppMpGGmpnnn's's's's's'G'G'G'R'R's'snn's'sNNNNN'sNNDDpMpdNNNNNNN'sNNDDpppMpGmppNNDDpDMpGRssss.NsGmpMpGmpNNNDDpDMpp
dinguli mor	sppppMppMgMpMgggsrrggsrrndpMdpMggMpMgrgrssggrrssrgrsssssrrggsrrndpMdpMggMMpMgrgrspgppppddddp's's's's's'g'g'r'r'sppppdnnndndppddndppppppdnnndndppddndpppsssrgggrssrrrpppsrrrnddpMMdpMgggMpppMgrrgrsssss.d.d.dsrgggggpppppppMpppDpppMMggggMpppMgrrgrssss.d.d.dsssssrgggmrrgrsssppgpppdddppp's'g'g'r's'ssssrrggggppMppnndpMgMggpprggndpMdpMggMpMgrgrs
dnarao aamar aankhiro aagey	.n.n.nssggmpmgrgrsssr.n.n.nsssgggmmppmmggrggrrssppppppppppppppddNNdppddpmmmggrs.nssggmpmgrgrsssr.n.nssggmpmgrgrssmppnnnn's's's'sn's's's's's's's's's'r'snnpp's'snppdmpmpggpppppppppppppdN's'sN'sNNpdpmmgssssp.n.n.nssggmpmgrgrsssr.n.nssggmpmgrgrssspppppppppppppdN's'sN'sNNpdpmmggmmmmgggggggggggmppppmgggssss.n.n.n.n.nsssgggssss.nsspppppppppppnnnnnnn's's's's's's'sn's's's's's's's's's's's's's's's's's's's'snnnnpppp's's's'snnppppdmmpmmgggggpppppppppppppppppppppppddNN's's's'sNNN'sNNppdppmmmggssssssspp.n.n.n.n.nsssgggmmppmmggrggrrssssr.n.n.nsssgggmmppmmggrggrrssssssss
dnariye aachho tumi	p's'sndpMppMpggMMMMrrrggMppddddppMggMpppppppppp's'snddpMMpppMMpggMMMMrrgMpdddpMgMppppppppMpnnnddn'sndMpddddMpdn's'r'r'rn'r'sndndd's'sMMp's'sndpMppMpggMMMMrrgMpdddpMgMppppppppppp's's's's's's's'sn'r's's's'sn'r'r'r'r's'snnddndpppppp's's's's's's's'sn'r's's's'sn'r'r'r'r's'snnddndpppMMggMMrrgMMpppppp'g'g'g'g'g'r'r'r's's'snn'r'r's'snndd's'snnnMMddppp's's'sMMMpp's's's'snnddpMMpppMMppgggMMMMMMrrrggMppddddppMggMppppppppppp's's's's's's'snnnnnrrrggMppdddppMppppppppnnnnnddnn'snnnnnnnnnnn'r'r'r'r'R'R'r'r'R'R'r'r'r's's'snn's'r'rnnnnnnrrrggMppdddMMppMggMppppppppppp's's's's's's'snnnnnrrrggMppdddppMppppppppnnnnnddnn'snnnnnnnnnnn'r'r'r'r'R'R'r'r'R'R'r'r'r's's'snn's'r'rnnnnnnrrrggMppdddMMppMggMpppppppppppppp's's's's's's's's's's's's'snn'r'r'snn's's's's's's's's'sn'r'r'r'r's's's's'snnnnddnnddppppppppp's's's's's's's's's's's's'snn'r'r'snn's's's's's's's's'sn'r'r'r'r's's's's'snnnnddnnddppppMMMggMMrrgMMpppppp'g'g'g'g'r'r'r'r's's's's'snn'r'r's'snndd's'snnMMMMddppp's's'sMMMpp's's's'snnddpMMpppMMppgggMMMMMMrrrggMppddddppMggMpppppppp
dui haatey kaaler mondira jey	snndpMgrsssrggpgrgrssggpppMpppp's's'snndpMgrsssrggpgrgrsspd's's's's'r's's'r'g'r's's'g'g'g'r's'snd'sndpp'snndpMgrsssrggpgrgrsspMpgpMdpp's's's'sn's's's'r'r'r's'r'g'r'r'g'r'r'sndnpMpgpMdpp's's's'sn's's's'r'r'r's'r'g'r'r'g'r'r'sndnpddd'r's'sn'r'sndpndndpdndpppdppmgsrgrgrss'snndpMgrsssrggpgrgrss.pssssssrggggrsssrgggpppggmrrgssrgggg.p.psssssssrggggrsssrgggpppggmrrgssrggggssppppMpppppnnnddnppppnnnnddppdppmggggmggpppmggmrrgssggggsspppgpppddd's's's'sn's's's's's'r'r'r'r'r's'r'g'g'r'r'r'g'r'r'snnddsspppgpppddd's's's'sn's's's's's'r'r'r'r'r's'r'g'g'r'r'r'g'r'r'snnddppddd'r's's'snn'r's'snnddndppnnddnndppdnndpppppdppmggssrggrrgrsss's'snndppMggrssssrgggpggrggrss
dui haatey kaler mondira je	snndpMgrsssrgggppggrrggrrsssssggppppMMpppp's's's'snnnddppMMggrrsssssrgggpgrggrsssspd's's's's's'r's's'g'r's's's's's'g'g'g'r's's'snd's'sndpppp'snndpMgrsssrgggpgrggrssssgpppMppp's'snndpMgrsssrgggpgrggrssssppMpgpMdpp's's's'sn'r's's's's's'r'r'r's'r'g'r'r'g'r's'snndndpddd'r's's's'sn'r's'snndndppppnndddnnddppddnnddpppppppdpppmmgggssrrrrggrrggrsssss's'snnnddppMMggrrsssssrrggggppggrrggrrsssssggppppMMpppp's's's'snnnddppMMggrrsssssrrggggppggrrggrrsssss.p.pssssssssssrrgggggrrssssrrggggppppggmmrrggssrrgggggggssppppMMddppppppnnnnnddnndpppppnnnnnnddnnppddppmmgggggmmppggppppmmggmmrrggssrrgggggggssppppggggpppdddd's's's's's'sn'r'r's's's's's's'r'r'r'r'r's's'r'r'g'g'r'r'r'r'g'r'r'r's'snnnddnnppddddd'r's's's's'snn'r'r's's'snnnddnndpppppnndddnnddppddnnddpppppppdpppmmgggssrrrrggrrggrsssssssss's'snnnddppMMggrrsssssrrggggppggrrggrrsssssggppppMMpppp's's's'snnnddppMMggrrsssssrrggggppggrrggrrssss
durdeshi shei rakhal chheley	s'sNdppmrrrss.nssrmrmppppNpppnn's'snnnn'rNNNddpppmmgrrr.n.nssrrmmppddNNNNrrr's's's'sNdppmrrrss.nssrmrmpppNppn'snn'rNNdppmgrr.nsrrmmppddNNNNrrr's's's's'sNNddpppmmrrrrrsssnnnnnnnn's's's's's's's'sppppnnnnnnn's's's's's's's's's's's'r'r's's's's'r's'sppNNNNdNNddpppnnnnnnnnnn's's's's's's's'sppppnnnnnnn's's's's's's's's's's's'r'r's's's's'r's'sppNNNNdNNddppppmmrrrmmpppmmmppnn's's'snn'rNNNNNdpppmmmmgmmrrsss.n.nssrrmmppddNNNNrrr's's's's'sNNddpppmmrrrrrsssmmpppppppmmNNd's'sNNddppmmmmNNNNddNNNdd'sNNNddppddmmpppppppmmNNd's'sNNddppmmmmNNNNddNNNdd'sNNNddppddss.n.nssrrsssss.n.nssrrsss.n.nsssrrrrssrrpmmpprrsssrss.n.nssrrsssss.n.nssrrsss.n.nsssrrrrssrrpmmpprrsssnnnnnnnn's'snn's's's's'sppppnnnnnnn's's's's's's's's's's's'r'r's's's's'r's'sppNNppNNddNppNNnnnnnnnn's'snn's's's's'sppppnnnnnnn's's's's's's's's's's's'r'r's's's's'r's'sppNNppNNddNpppmmrrrmmpppmmpppnn's's's's's'r's's'sNNdpppmmmmrmmrrsss.n.nssrrmmppddNNNNrrr's's's's'sNNddpppmmrrrrrsss.n.nsssrrmmrrmmpppppNpppnn's'snnnn'rNNNddpppmmgrrr.n.nssrrmmppddNNNNrrr's's's's'sNNddpppmmrrrrrsssss
e din aaji kon ghorey go	s's's's's'r'snnnddnndppppddppmmpppppppsrmmmgmppDDDp's's'sDppNNDDDNDppppppppgppdd's's's's's's's'r'r'r's'r'g'r's'sndndpppdd'r's's's'spd's's's's's'r'snn'snddndppdpmpppppppsrmmmgmppDDDp's's'sDDpppNNNNDDDDDDNNDpppppppssss.d.dssrrsrrgggppMggrrggrrssss.n.nss.d.d.d.dssssrrsrrrrggggggggppppppddpMMpggpppddnnddpppnnn's'snddppMMpggrrggmgggrrsssss.d.dssrrsrrgggppMggrrggrrssss.n.nss.d.d.d.dssssrrsrrrrggggggggppppppddpMMpggpppddnnddpppnnn's'snddppMMpggrrggmggggppppggppppdd's's's's's's's's's's's's'r'r'r'r'r's's'r'g'g'r'r's's'r'r'snnddnndpppppddd'r'r's's's's'sppdddd's's's's's's's's'r'r'snnnn's'snddddnndppppddppmmmmppppppppssrrmmmmmmggmpppDDDDDDpp's's's'sDDpppNNNNDDDDDDNNDpppppp
